"gene","effect_paired","se_paired","ci_low_paired","ci_high_paired","p_paired","fdr_paired","n_paired","effect_external","se_external","ci_low_external","ci_high_external","p_external","fdr_external","n_external_np","n_external_it","meta_effect","meta_se","meta_z","meta_p","meta_fdr","meta_ci_low","meta_ci_high","direction_concordant","Q","heterogeneity_p","I2_percent","locked"
"ADGRG6",-2.39606191790216,0.447974974176363,-3.82171821932929,-0.970405616475029,0.0127825707308853,0.331555050552371,4,-1.90815440392894,0.398215071645841,-2.75490371743817,-1.0614050904197,0.000220409122449825,0.00410563860218666,15,6,-2.12351580628892,0.297624675657322,-7.13487818709591,9.68729112592948e-13,2.28079590609727e-11,-2.70686017057727,-1.54017144200057,"True",0.662628316084623,0.415633579544808,0,TRUE
"AMOTL1",-1.80374463341563,0.717733951457395,-4.08789439540789,0.48040512857663,0.08670006036363,0.414815210814049,4,-2.29238881317965,0.394409693022792,-3.15324801741327,-1.43152960894603,8.84740939848208e-05,0.00232944870482938,15,6,-2.17905515279845,0.345657976393797,-6.30407889189262,2.89912805161746e-10,4.28488351743843e-09,-2.85654478653029,-1.50156551906661,"True",0.356005318871145,0.550733193020538,0,TRUE
"ANO1",-2.24456412789937,0.27669839117937,-3.1251419005861,-1.36398635521264,0.00391589663704636,0.326680232102555,4,-1.65098937100253,0.215934435316744,-2.10545318813579,-1.19652555386927,5.43741142304517e-07,0.000100930496363641,15,6,-1.87565927860717,0.170232068259899,-11.0182487810906,3.12071228439218e-28,4.67955351771235e-26,-2.20931413239657,-1.54200442481777,"True",2.8600690570822,0.0908036001075055,65.0358092744731,TRUE
"AZGP1",-4.35835809392324,0.569258272355955,-6.16999197953463,-2.54672420831184,0.00462786608567399,0.326680232102555,4,-3.92073652655565,0.528378446214553,-5.03483655873709,-2.80663649437422,9.52284824947344e-07,0.000139030273489301,15,6,-4.12327133023158,0.38726640453823,-10.64711857758,1.79845860485907e-26,2.37591112870756e-24,-4.88231348312651,-3.36422917733665,"True",0.317474021812986,0.573129634304402,0,TRUE
"CA2",-2.24929867233816,0.68004080871176,-4.41349203146504,-0.0851053132112751,0.0454739886951646,0.370937391935072,4,-3.25619486763782,0.253097934397341,-3.78722059981172,-2.72516913546392,1.26972672909658e-10,8.90374706666825e-07,15,6,-3.13369040110383,0.23720213132867,-13.2110549915833,7.57551719604118e-40,1.95006438488093e-37,-3.59860657850802,-2.66877422369963,"True",1.92557049042467,0.165243871292103,48.0673387459602,TRUE
"CHI3L2",-1.57767594446552,0.685803123892593,-3.76020756224953,0.604855673318488,0.104942223969371,0.433419206200522,4,-3.36964607405573,0.781708318933535,-5.00590120553293,-1.73339094257853,0.000377975789553225,0.00577868945118547,15,6,-2.35704974171535,0.515527991431541,-4.57210817044132,4.82841552802648e-06,2.68641490743404e-05,-3.36748460492117,-1.34661487850953,"True",2.96946115659382,0.084850112659205,66.3238565091362,TRUE
"CHRM3",-2.61886255016899,0.441701055948521,-4.02455244371227,-1.2131726566257,0.0095882407452337,0.326680232102555,4,-2.35185488247054,0.333384611436399,-3.05010524346045,-1.65360452148063,1.08889941554297e-06,0.000149527553209736,15,6,-2.44875976346568,0.266096643922743,-9.20252028498575,3.49650841984802e-20,2.40015877975789e-18,-2.97030918555425,-1.9272103413771,"True",0.232797486377807,0.629457248240021,0,TRUE
"CHST1",-2.03987053066747,0.91427616336596,-4.94950532878043,0.869764267445489,0.111878849252415,0.438294865579591,4,-1.66264844328487,0.620808724539506,-2.97861597830661,-0.346680908263131,0.0164829962791293,0.0574290801525026,15,6,-1.78168732114383,0.513597915388414,-3.46903145001359,0.000522338304155623,0.00167341114036167,-2.78833923530512,-0.775035406982537,"True",0.116511908153059,0.732848837512978,0,TRUE
"DMBT1",-5.63917802243527,1.42940233710497,-10.1881742089189,-1.09018183595166,0.0290377132540194,0.35595679340833,4,-4.12226108606828,0.971010398438673,-6.19499997145932,-2.04952220067725,0.000730721680900497,0.00864091736992904,15,6,-4.60123533064954,0.803211038419475,-5.72855091695909,1.01292151415946e-08,1.0871836543567e-07,-6.17552896595171,-3.02694169534737,"True",0.770595023326861,0.380033040028537,0,TRUE
"F5",-2.99721702783476,0.755205517940773,-5.40061803813524,-0.593816017534279,0.0285889033779055,0.35595679340833,4,-1.98306125697764,0.51609304266606,-3.07099854272712,-0.895123971228162,0.001281957338285,0.0117715131058497,15,6,-2.30590876968057,0.426100009398811,-5.41166092189015,6.24428439203437e-08,5.67645511683171e-07,-3.14106478810224,-1.4707527512589,"True",1.22926665783985,0.26754970306848,18.6506854617477,TRUE
"GJC3",-2.9523977103431,0.748715792427563,-5.33514551766176,-0.569649903024435,0.0290732127897358,0.35595679340833,4,-3.51847668722177,0.42549930349543,-4.41276698130926,-2.62418639313429,1.58752809324467e-07,5.04501606592441e-05,15,6,-3.38028230942854,0.369933505553965,-9.13754028407526,6.38888840941021e-20,4.29027745579742e-18,-4.10535198031431,-2.65521263854276,"True",0.43208550167381,0.510967394732585,0,TRUE
"GRIA2",-1.916532171764,0.497456794365064,-3.49966170902937,-0.333402634498624,0.0308849293990378,0.35595679340833,4,-1.86883921227076,0.401252064010658,-2.72044587988799,-1.01723254465354,0.000272394971351669,0.004728030538222,15,6,-1.88763811095808,0.312316144213378,-6.04399787181168,1.5034149480027e-09,1.92061570487193e-08,-2.49977775361631,-1.27549846829986,"True",0.00556867819096241,0.940514214973716,0,TRUE
"HP",-6.09096406623014,2.07394302241223,-12.6911763752749,0.509248242814598,0.0606616942190521,0.384643392778219,4,-5.55770176658693,0.82650109399818,-7.29699903729708,-3.81840449587679,2.98151605900574e-06,0.000280009613095106,15,6,-5.63078533819308,0.767779057543401,-7.33386158800611,2.23614044380043e-13,6.05915599201712e-12,-7.13563229097815,-4.12593838540802,"True",0.0570523816726375,0.811216931802595,0,TRUE
"KCNMA1",-1.88095471512481,0.349881536365894,-2.99443391781944,-0.76747551243018,0.0126032848654539,0.3305908366577,4,-1.73950724341295,0.482095605995338,-2.74857583870875,-0.730438648117155,0.0018741747112209,0.0148862420860878,15,6,-1.83215549132731,0.283166606165589,-6.47023855014849,9.78483187215204e-11,1.57917166421513e-09,-2.38716203941186,-1.27714894324275,"True",0.0563853205171525,0.812303101326032,0,TRUE
"KCNN4",-3.20075022003752,0.681375744263846,-5.36919193987993,-1.03230850019511,0.0182473606808862,0.335110626703247,4,-2.19388633511549,0.485873565536658,-3.21083233466069,-1.17694033557029,0.000236803167404329,0.0043139515078953,15,6,-2.5332807079169,0.395597561924284,-6.40368129569453,1.51674556283111e-10,2.36866887946678e-09,-3.30865192928849,-1.7579094865453,"True",1.44753428207781,0.228924010226863,30.9170074670297,TRUE
"KRT14",-1.96763553389033,0.182223139078008,-2.54755088958633,-1.38772017819432,0.00169901841449889,0.308770123823995,4,-4.04258740589066,0.861906677420895,-5.85479766150619,-2.23037715027513,0.000187291257944033,0.00373816202364821,15,6,-2.05641323341568,0.178282278125634,-11.5345914077144,8.83054465919977e-31,1.60456190895695e-28,-2.40584649854192,-1.70697996828944,"True",5.54759652374784,0.018506081728355,81.9741757404444,TRUE
"LINC01829",-3.48173194966468,0.375894083242564,-4.67799468605799,-2.28546921327138,0.00266288052743296,0.314978263447525,4,-2.85542416285395,0.630913545769817,-4.17640588012058,-1.53444244558732,0.000233954288212463,0.00428719195219998,15,6,-3.31765427007983,0.322924279289534,-10.273783926619,9.25036420660817e-25,1.02051339407902e-22,-3.95058585748732,-2.68472268267235,"True",0.727287858261277,0.393763714252738,0,TRUE
"NOSTRIN",-2.59377279839004,0.134630583822528,-3.02222740245423,-2.16531819432584,0.000305428733767737,0.24492475603089,4,-2.49564789157088,0.408098303122007,-3.36063071194951,-1.63066507119225,1.4772644748246e-05,0.000757980798948416,15,6,-2.5841418010678,0.127852961257355,-20.2118259573681,7.70444085561142e-91,6.99971111852461e-88,-2.83473360513221,-2.33354999700338,"True",0.05213904368567,0.819382120801503,0,TRUE
"NPY1R",-2.62834071916555,0.183676540307532,-3.21288144623455,-2.04379999209655,0.00073961155102077,0.270762141721517,4,-2.42661354727791,0.426921986295045,-3.32336987552592,-1.52985721902989,2.14454825829301e-05,0.000968545713818078,15,6,-2.59683284313981,0.168723620251288,-15.3910450669101,1.87971614653132e-53,8.06450441199341e-51,-2.92753113883233,-2.26613454744728,"True",0.188397938763582,0.664253357283279,0,TRUE
"ODAM",-4.3158829667733,0.621178382060123,-6.29274981368265,-2.33901611986395,0.00611554842256535,0.326680232102555,4,-3.76917276251035,0.940676595855016,-5.7626605775509,-1.7756849474698,0.00100983987563714,0.0103191857004471,15,6,-4.14987274079149,0.51835724052819,-8.00581609810811,1.18676969080399e-15,4.71199431220246e-14,-5.16585293222674,-3.13389254935623,"True",0.235211934793292,0.627685900137841,0,TRUE
"PADI2",-1.76342897668992,0.720262831496357,-4.05562676361868,0.528768810238845,0.0918172753635466,0.421103148369044,4,-1.59638854363348,0.525876427809246,-2.69713009586382,-0.495646991403142,0.00680710825568231,0.0323800981253415,15,6,-1.65447095250018,0.424719802324007,-3.89544104948051,9.80202010241168e-05,0.000382014131924674,-2.48692176505523,-0.822020139945129,"True",0.035083169245709,0.85142148991322,0,TRUE
"PHLDA1",-2.08716677722235,0.546185255375651,-3.82537202519303,-0.348961529251675,0.0315444044274861,0.356162484257382,4,-2.69306242926045,0.419804535526711,-3.59807828418344,-1.78804657433745,2.07287136608797e-05,0.000952117793196347,15,6,-2.46805011604614,0.332846654481238,-7.41497648487032,1.21646388516481e-13,3.4793119826612e-12,-3.12042955882936,-1.81567067326291,"True",0.773588255403266,0.379109280753804,0,TRUE
